Modelo,Macro F1 (Principal),Balanced Accuracy,Recall (Macro),MCC Multiclase,Precision (Macro),ROC-AUC (OvR),PR-AUC (OvR),Accuracy (Secundario),Log Loss,Tiempo Entrenamiento (s),Tiempo Predicción (s),Recall_Arma Blanca,Precision_Arma Blanca,F1_Arma Blanca,Recall_Arma de Fuego,Precision_Arma de Fuego,F1_Arma de Fuego,Recall_Otros,Precision_Otros,F1_Otros
XGBoost con Covariables Geográficas,0.415636500916931,0.4718964985668575,0.4718964985668575,0.220065112356121,0.4099119665639425,0.7443924672495768,0.41020930362305963,0.7902149740548554,0.6583301424980164,0.28314900398254395,0.01512765884399414,0.43478260869565216,0.14492753623188406,0.21739130434782608,0.8405560098119379,0.9492151431209603,0.8915871639202082,0.14035087719298245,0.13559322033898305,0.13793103448275862
Extra Trees,0.39967287727528583,0.38563373131181966,0.38563373131181966,0.15165835420516383,0.5404681923157674,0.619033615228572,0.3924510671977853,0.8917716827279466,0.49758086725487766,0.40406203269958496,0.0681915283203125,0.13043478260869565,0.20454545454545456,0.1592920353982301,0.9738348323793949,0.9168591224018475,0.9444885011895321,0.05263157894736842,0.5,0.09523809523809523
Random Forest,0.387971280162078,0.37686273702671835,0.37686273702671835,0.15170306560249353,0.46729900835621163,0.7037839348131886,0.4172374189475268,0.8954781319495922,0.3827449936991343,0.40686893463134766,0.06644797325134277,0.11594202898550725,0.23529411764705882,0.1553398058252427,0.9795584627964022,0.9166029074215761,0.9470355731225296,0.03508771929824561,0.25,0.06153846153846154
XGBoost Base (No Espacial),0.3432432771200887,0.43460215352867815,0.43460215352867815,0.13455561092795545,0.36700709770867773,0.6988878935872544,0.4045615505984379,0.6419570051890289,0.8047587871551514,0.15241622924804688,0.017006397247314453,0.5072463768115942,0.10086455331412104,0.16826923076923078,0.6737530662305805,0.9471264367816092,0.7873865265169613,0.12280701754385964,0.05303030303030303,0.07407407407407407
Regresión Logística Multinomial,0.32655769130147316,0.4447594093960177,0.4447594093960177,0.1251817259440968,0.3669737581472228,0.6679168240341458,0.38664053538237364,0.5744996293550778,0.969726295729061,0.13074731826782227,0.007755756378173828,0.5652173913043478,0.09725685785536159,0.16595744680851063,0.5936222403924775,0.9490196078431372,0.7303822937625755,0.17543859649122806,0.0546448087431694,0.08333333333333333
Baseline Territorial (Parroquia),0.31700362882322447,0.3333333333333333,0.3333333333333333,0.0,0.30219915987150975,0.5,0.3333333333333333,0.9065974796145293,3.366568070443856,0.01709771156311035,0.002440214157104492,0.0,0.0,0.0,1.0,0.9065974796145293,0.9510108864696734,0.0,0.0,0.0
Baseline Clase Mayoritaria,0.31700362882322447,0.3333333333333333,0.3333333333333333,0.0,0.30219915987150975,0.5,0.3333333333333333,0.9065974796145293,3.366568070443856,0.0012750625610351562,0.00028586387634277344,0.0,0.0,0.0,1.0,0.9065974796145293,0.9510108864696734,0.0,0.0,0.0
