,Arma Blanca,Arma de Fuego,Otros
Baseline Clase Mayoritaria,0.05114899925871016,0.09340252038547071,0.04225352112676056
Baseline Territorial (Parroquia),0.05114899925871016,0.09340252038547071,0.04225352112676056
Regresión Logística Multinomial,0.13351260620400995,0.328615139051404,0.10174843339347835
Random Forest,0.055731727205337284,0.09260593031875464,0.03961519644180875
Extra Trees,0.06854558932542623,0.1109139362490734,0.042268124536693846
XGBoost Base (No Espacial),0.11178870499134064,0.26798689365386963,0.08792387694120407
XGBoost con Covariables Geográficas,0.08392790704965591,0.20317114889621735,0.07208641618490219
