Grupo_Variables,Num_Variables,Macro F1,Balanced Accuracy,Accuracy,Ganancia_F1_vs_Base
1_Base_Demografica,2,0.27835106372472124,0.42897836074067247,0.41089259100952386,0.0
2_+Temporal,6,0.3664276085452384,0.43768746776891876,0.6644140965685135,0.08807654482051719
3_+Motivacion,7,0.39209375292057264,0.46447432649282094,0.7103247196795288,0.1137426891958514
4_+Tipo_Lugar,9,0.39183894819296144,0.46383468677043516,0.6998296094666988,0.11348788446824021
5_+Coordenadas,11,0.38078302026179583,0.4430572642974783,0.6964714355775307,0.1024319565370746
6_+Parroquia,12,0.392611766400006,0.40391012313952235,0.8009310038673941,0.11426070267528476
7_+Distrito_Zona,14,0.3857208943908664,0.4011251521149986,0.7909378991835067,0.10736983066614514
