Model,Accuracy,Balanced Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),F1 (Macro),F1 (Weighted),Sensitivity (Macro),Specificity (Macro),MCC,Cohen Kappa,ROC AUC,Log Loss,Train Time (s),Prediction Time (s)
Regresión Logística,0.6270462633451958,0.458120198789461,0.3852495978160191,0.8478263762256137,0.458120198789461,0.6270462633451958,0.36876704802072463,0.7081914307279161,0.458120198789461,0.7734783018834577,0.1572772263583066,0.1233002644793828,0.6843239285319621,0.8874401831329761,0.31070542335510254,0.0005645751953125
XGBoost,0.8768683274021353,0.44839047174922847,0.5364205102246105,0.8493849686028612,0.44839047174922847,0.8768683274021353,0.4749618798311255,0.8595314693823051,0.44839047174922847,0.7428116629483549,0.2642150047682552,0.2516978529779387,0.7076587041923598,0.4623809446583384,1.1990633010864258,0.006325483322143555
G-XGBoost Espacial,0.9039145907473309,0.514925680426348,0.7021360899954514,0.8841231232326343,0.514925680426348,0.9039145907473309,0.568894587912676,0.8863962504710661,0.514925680426348,0.7709417708934674,0.4169427822438446,0.38508646233847066,0.8105449844548982,0.36492078621100654,1.9035112857818604,0.007853031158447266
